ID;Ring;Recapture;Date;Site;Xcoord;Ycoord;Sex;Repro;Age;AB;Mass;Spx_tot;Nyct_tot;Tiques;Infect_Status;N.Run;ID;meanCT_Poly;meanQuantity_Poly;meanCT_Bat;meanQuantity_Bat
1;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;38.4;09.sept;2;2;NA;NA;NA;NA;NA;NA;NA;NA
2;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;39.6;07.sept;0;1;NA;NA;NA;NA;NA;NA;NA;NA
3;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;36.8;07.janv;0;1;NA;Infecte;1-oldMolly;3;25.7105;3.8461356754069E-08;25.4485;0.0000000937773
4;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;37.1;07.mars;2;0;NA;NoInfect;1-oldMolly;4;#DIV/0!;0,00E+00;25.175;0.000000111891
5;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;37.5;08.avr;1;0;NA;Infecte;1-oldMolly;5;24.324;0.0000001026544105955;17.8545;0.0000126373
6;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;O;AD;37.7;06.août;14;2;NA;Infecte;1-oldMolly;6;32.4295;3.30302179287028E-10;21.607;4.12282341556171E-07
7;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;O;AD;38.9;8.0;6;0;NA;Infecte;1-oldMolly;7;30.3895;1.40028911272542E-09;20.984;6.11036175336574E-07
8;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;36.5;7.0;0;0;NA;Infecte;1-oldMolly;8;20.492;1.54785187392764E-06;15.4335;0.0000363762756131562
9;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;M;NR;SAD;36.5;06.sept;1;0;NA;Infecte;1-oldMolly;9;20.726;1.31151625532879E-06;16.333;0.000020598640127737
10;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;37.5;05.sept;0;2;NA;Infecte;Repassage1;10;28.2975;2.11112393675592E-08;20.25;1.56044430374631E-06
11;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;38.6;07.mars;0;0;NA;Infecte;1-oldMolly;11;30.524;1.27308836361422E-09;19.058;0.0000058098
NA;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;07.06.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA
12;NO;NO;10.06.2021;LesClees;46.730614;6.446748;M;NR;AD;38.0;07.févr;3;0;NA;Infecte;1-oldMolly;12;30.4625;1.32974996542318E-09;17.4285;0.0000166386
13;NO;NO;11.06.2021;ResurgenceVallorbe;46.701075;6.346217;M;NR;AD;35.3;07.janv;1;0;NA;Infecte;1-oldMolly;13;30.159;1.64853119993976E-09;23.947;0.000000247262
14;NO;NO;11.06.2021;ResurgenceVallorbe;46.701075;6.346217;F;P;AD;38.1;07.avr;1;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;40.1;08.juin;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;39.6;09.août;0;0;NA;NA;NA;NA;NA;NA;NA;NA
16;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;L;AD;38.5;08.janv;1;13;NA;NoInfect;1-oldMolly;16;#DIV/0!;0,00E+00;22.7215;3.43782599803848E-07
NA;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;36.7;10.mai;0;0;NA;NA;NA;NA;NA;NA;NA;NA
17;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;36.8;07.mars;0;0;NA;Infecte;1-oldMolly;17;26.698;1.91146043761408E-08;19.9835;0.00000319615
NA;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;P;AD;37.7;09.mars;0;0;NA;NA;NA;NA;NA;NA;NA;NA
19;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;L;AD;38;07.sept;2;0;NA;Infecte;1-oldMolly;19;23.277;2.15443469003188E-07;19.1125;0.00000560891
18;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;L;AD;36.4;7.0;1;1;NA;Infecte;1-oldMolly;18;34.093;1.01713845450059E-10;22.889;1.83474841931775E-07
20;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;34.9;8.0;2;0;NA;Infecte;1-oldMolly;20;25.49;4.49602821798985E-08;17.783;0.0000132344
21;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;36.8;07.mai;1;0;NA;NoInfect;1-oldMolly;21;#DIV/0!;0,00E+00;22.3155;0.000000709044
22;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;37.1;06.sept;2;0;NA;Infecte;1-oldMolly;22;29.22;3.205107190005E-09;22.1265;0.000000801076
23;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;L;AD;38.6;07.juil;0;0;NA;plusADN;1-oldMolly;23;36.297;NA;22.3795;0.00000068034
24;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;L;AD;38.4;07.sept;0;1;NA;Infecte;Repassage1;24;30.213;5.97863211495315E-09;18.5795;4.33804439840816E-06
25;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;SAD;35.6;07.mars;1;0;NA;NA;NA;NA;NA;NA;NA;NA
26;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;37.8;07.avr;2;0;NA;plusADN;1-oldMolly;26;34.385;NA;24.0445;0.000000232175
27;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;36.1;06.juil;1;0;NA;NoInfect;1-oldMolly;27;#DIV/0!;0,00E+00;18.676;0.00000743506
28;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;L;AD;38.0;07.mars;0;12;NA;Infecte;1-oldMolly;28;36.687;1.62075398156996E-11;45680,00;2.72692073742689E-07
29;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;SAD;36.3;06.août;4;0;NA;plusADN;1-oldMolly;29;33.124;NA;21.2705;0.00000139225
30;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;F;O;AD;38.0;07.sept;3;0;NA;Infecte;1-oldMolly;30;27.976;7.73350523346624E-09;19.072;0.00000575752
31;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;36.1;7.0;1;1;NA;Infecte;1-oldMolly;31;23.219;2.24475274693878E-07;18.685;0.00000739198
32;NO;NO;01.07.2021;MaisonRiviere;46.492753;6.479130;M;NR;AD;37.5;07.mai;1;0;NA;plusADN;1-oldMolly;32;38.1645;NA;19.9445;0.00000327766
